ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c.out, True, 268.0
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c.out, True, 296.0
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c.out, True, 290.0
ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c.out, True, 307.0
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c.out, True, 351.0
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c.out, True, 351.0
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c.out, True, 531.0
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c.out, True, 576.0
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c.out, True, 464.0
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c.out, False, 
ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c.out, True, 448.0
Choose.c.out, False, 
ChooseLife.c.out, False, 
ColonSipma-TACAS2001-Fig1_true-termination.c.out, True, 701.0
ComplInterv.c.out, False, 
ComplInterv2.c.out, False, 
ComplInterv3.c.out, False, 
ComplxStruc.c.out, False, 
ConvLower.c.out, False, 
CookSeeZuleger-TACAS2013-Fig1_true-termination.c.out, False, 
CookSeeZuleger-TACAS2013-Fig7a_true-termination.c.out, False, 
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c.out, False, 
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c.out, False, 
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c.out, False, 
CookSeeZuleger-TACAS2013-Fig8b_true-termination.c.out, False, 
Copenhagen_disj_true-termination.c.out, True, 403.0
Copenhagen_true-termination.c.out, True, 324.0
Cousot.c.out, False, 
DivMinus.c.out, True, 525.0
DivMinus2.c.out, True, 130329.00000000001
DivWithoutMinus.c.out, False, 
DoubleNeg.c.out, False, 
Et1.c.out, False, 
Et2.c.out, False, 
Et4.c.out, False, 
Even.c.out, False, 
Ex01.c.out, False, 
Ex02.c.out, False, 
Ex03.c.out, False, 
Ex04.c.out, False, 
Ex05.c.out, True, 375.0
Ex06.c.out, False, 
Ex07.c.out, False, 
Ex08.c.out, False, 
Factorial.c.out, False, 
Fibonacci.c.out, False, 
Flip.c.out, False, 
Flip2.c.out, False, 
GCD.c.out, False, 
GCD2.c.out, False, 
GCD3.c.out, True, 5872.0
GCD4.c.out, True, 36477.0
Gauss.c.out, False, 
GopanReps-CAV2006-Fig1a_true-termination.c.c.out, True, 428.0
Gothenburg_true-termination.c.out, True, 837.0
Gothenburg_v2_true-termination.c.out, True, 1564.0
GulavaniGulwani-CAV2008-Fig1a_true-termination.c.out, True, 426.0
GulavaniGulwani-CAV2008-Fig1b_true-termination.c.out, True, 570.0
GulavaniGulwani-CAV2008-Fig1c_true-termination.c.out, True, 288.0
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c.out, False, 
Hanoi_2vars_false-termination.c.out, False, 
Hanoi_3vars_false-termination.c.out, False, 
Hanoi_plus_false-termination.c.out, False, 
HeizmannHoenickeLeikePodelski-ATVA2013-Fig1_true-termination.c.out, True, 355.0
HeizmannHoenickeLeikePodelski-ATVA2013-Fig4_true-termination.c.out, True, 435.0
HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c.out, False, 
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c.out, False, 
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c.out, False, 
IntPath.c.out, False, 
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c.out, True, 1027.0
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c.out, False, 
Lcm.c.out, False, 
LeikeHeizmann-TACAS2014-Ex1_true-termination.c.out, True, 688.0
LeikeHeizmann-TACAS2014-Ex7_true-termination.c.out, True, 846.0
LeikeHeizmann-TACAS2014-Ex8_true-termination.c.out, False, 
LeikeHeizmann-TACAS2014-Ex9_true-termination.c.out, True, 1448.0
LeikeHeizmann-TACAS2014-Fig1_true-termination.c.out, False, 
LeikeHeizmann-WST2014-Ex5_false-termination.c.out, False, 
LeikeHeizmann-WST2014-Ex6_false-termination.c.out, False, 
Lobnya-Boolean-Reordered_true-termination.c.out, False, 
Log.c.out, True, 1284.0
LogAG.c.out, True, 566.0
LogMult.c.out, False, 
Loop.c.out, False, 
Madrid_false-termination.c.out, False, 
Marbie1.c.out, False, 
Marbie2.c.out, False, 
Masse-VMCAI2014-Ex6_true-termination.c.out, True, 299.0
Masse-VMCAI2014-Fig1a_true-termination.c.out, False, 
Masse-VMCAI2014-Fig1b_true-termination.c.out, False, 
McCarthy91_Iteration_true-termination.c.out, True, 610.0
McCarthyIterative.c.out, True, 607.0
MenloPark_true-termination.c.out, True, 478.0
Middle.c.out, False, 
MinusBuiltIn.c.out, True, 356.0
MinusMin.c.out, True, 709.0
MinusUserDefined.c.out, True, 4402.0
MirrorInterv.c.out, False, 
MirrorIntervSim.c.out, False, 
Mysore_false-termination.c.out, False, 
Mysore_true-termination.c.out, True, 373.0
NO_00.c.out, False, 
NO_01.c.out, False, 
NO_02.c.out, False, 
NO_03.c.out, False, 
NO_04.c.out, False, 
NO_10.c.out, False, 
NO_12.c.out, False, 
NO_13.c.out, False, 
NO_21.c.out, False, 
NO_22.c.out, False, 
NO_23.c.out, False, 
NO_24.c.out, False, 
NarrowKonv.c.out, False, 
Narrowing.c.out, False, 
Nested.c.out, True, 419.0
NonTermination1_false-termination.c.out, False, 
NonTermination2_false-termination.c.out, False, 
NonTermination4_false-termination.c.out, False, 
NonTerminationSimple2_false-termination.c.out, False, 
NonTerminationSimple3_false-termination.c.out, False, 
NonTerminationSimple4_false-termination.c.out, False, 
NonTerminationSimple5_false-termination.c.out, False, 
NonTerminationSimple6_false-termination.c.out, False, 
NonTerminationSimple7_false-termination.c.out, False, 
NonTerminationSimple8_false-termination.c.out, False, 
NonTerminationSimple9_false-termination.c.out, False, 
NoriSharma-FSE2013-Fig7_true-termination.c.out, True, 9717.0
NoriSharma-FSE2013-Fig8_true-termination.c.out, False, 
Nyala-2lex_true-termination.c.out, False, 
Overflow.c.out, False, 
Parallel_true-termination.c.out, True, 629.0
PastaA1.c.out, True, 613.0
PastaA10.c.out, False, 
PastaA4.c.out, True, 343.0
PastaA5.c.out, True, 244.0
PastaA6.c.out, True, 480.0
PastaA7.c.out, True, 381.0
PastaA8.c.out, True, 349.0
PastaA9.c.out, True, 524.0
PastaB1.c.out, True, 343.0
PastaB11.c.out, True, 473.0
PastaB14.c.out, True, 2278.0
PastaB15.c.out, True, 3917.0
PastaB16.c.out, True, 1771.0
PastaB17.c.out, True, 2028.0
PastaB2.c.out, True, 376.0
PastaB3.c.out, True, 1428.0
PastaB4.c.out, True, 504.0
PastaB6.c.out, True, 1474.0
PastaB7.c.out, True, 1479.0
PastaC1.c.out, True, 1648.0
PastaC10.c.out, False, 
PastaC2.c.out, True, 1604.0
PastaC3.c.out, True, 1474.0
PastaC7.c.out, True, 1006.0
PastaC9.c.out, False, 
Piecewise_true-termination.c.out, False, 
PlusSwap.c.out, True, 953.0
PodelskiRybalchenko-LICS2004-Fig1_true-termination.c.out, True, 998.0
PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c.out, False, 
PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c.out, True, 371.0
PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c.out, True, 740.0
PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c.out, False, 
PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c.out, False, 
PodelskiRybalchenko-VMCAI2004-Ex2_true-termination.c.out, False, 
Pure2Phase_true-termination.c.out, False, 
Pure3Phase_true-termination.c.out, False, 
Rotation180_false-termination.c.out, False, 
Sequence.c.out, True, 583.0
Singapore_plus_false-termination.c.out, False, 
Singapore_true-termination.c.out, True, 441.0
Singapore_v1_false-termination.c.out, False, 
Singapore_v2_false-termination.c.out, False, 
Stockholm_true-termination.c.out, True, 506.0
Sunset.c.out, False, 
Swingers.c.out, False, 
TelAviv-Amir-Minimum_true-termination.c.out, False, 
Thun_true-termination.c.out, True, 272.0
Toulouse-BranchesToLoop_true-termination.c.out, False, 
Toulouse-MultiBranchesToLoop_true-termination.c.out, False, 
TrueDiv.c.out, False, 
TwoFloatInterv.c.out, False, 
UpAndDown.c.out, False, 
UpAndDownIneq.c.out, False, 
Urban-WST2013-Fig1_false-termination.c.out, False, 
Urban-WST2013-Fig2-modified1000_true-termination.c.out, True, 501.0
Urban-WST2013-Fig2_true-termination.c.out, True, 556.0
UrbanMine-ESOP2014-Fig3_true-termination.c.out, False, 
Velroyen_false-termination.c.out, False, 
Waldkirch_true-termination.c.out, True, 758.0
WhileDecr.c.out, True, 666.0
WhileFalse_true-termination.c.out, True, 435.0
WhileIncr.c.out, False, 
WhileIncrPart.c.out, False, 
WhileNested.c.out, False, 
WhileNestedOffset.c.out, False, 
WhilePart.c.out, False, 
WhileSingle.c.out, False, 
WhileTrue.c.out, False, 
WhileTrue_false-termination.c.out, True, 208.0
aaron2_true-termination.c.out, True, 705.0
aaron3_true-termination.c.out, False, 
collatz.c.out, False, 
easy1_true-termination.c.out, True, 950.0
easy2_true-termination.c.out, True, 1575.0
gcd1_true-termination.c.out, True, 6644.0
genady_true-termination.c.out, True, 452.0
min_rf_true-termination.c.out, False, 
svcomp_a.01.c.out, False, 
svcomp_a.04.c.out, True, 757.0
svcomp_a.05.c.out, True, 1549.0
svcomp_a.06.c.out, True, 1530.0
svcomp_a.07.c.out, True, 545.0
svcomp_a.08.c.out, True, 476.0
svcomp_a.09_assume.c.out, True, 385.0
svcomp_a.10.c.out, False, 
svcomp_b.01.c.out, True, 449.0
svcomp_b.02.c.out, True, 592.0
